,company name,location,datum,detail,status rocket,rocket,status mission,dates,times,country,launch_location,long,lat
3717,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1967-11-07 07:39:00+00:00,Atlas-SLV3C Centaur-D | Surveyor 6,StatusRetired,450.0 ,Success,1967-11-07,07:39:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3718,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1967-11-05 23:37:00+00:00,Atlas-SLV3 Agena-D | ATS-3,StatusRetired,450.0 ,Success,1967-11-05,23:37:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3719,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-11-03 11:20:00+00:00,Voskhod | Cosmos 190,StatusRetired,450.0 ,Success,1967-11-03,11:20:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3720,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1967-10-30 18:00:00+00:00,Cosmos-3M (11K65M) | Cosmos 189,StatusRetired,450.0 ,Success,1967-10-30,18:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3721,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-10-30 08:12:00+00:00,Soyuz | Cosmos 188,StatusRetired,450.0 ,Success,1967-10-30,08:12:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3722,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",1967-10-28 13:15:00+00:00,Tsyklon | Cosmos 187,StatusRetired,450.0 ,Success,1967-10-28,13:15:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3723,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1967-10-27 09:29:00+00:00,Soyuz | Cosmos 186,StatusRetired,450.0 ,Success,1967-10-27,09:29:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3724,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1967-10-27 02:21:00+00:00,Tsyklon-2A | Cosmos 185,StatusRetired,450.0 ,Success,1967-10-27,02:21:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3725,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1967-10-25 19:15:00+00:00,Titan IIIB | OPS 4995,StatusRetired,59.0 ,Success,1967-10-25,19:15:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3726,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-10-24 22:49:00+00:00,Vostok-2M | Cosmos 184,StatusRetired,450.0 ,Success,1967-10-24,22:49:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
